raceID,city,country,loc_short,start_date
DRH,Diriyah,Saudi Arabia,drh,2018-12-15
Marakkesh1,Marakkesh,Morocco,moc,2019-01-12
Santiago1,Santiage,Chile,san,2019-01-26
MexikoCity1,Mexiko City,Mexico,mex,2019-02-16
HongKong,Hong Kong,Hong Kong,hkg,2019-03-10
SYX,Sanya,China,syx,2019-03-23
Rome,Rome,Italy,rme,2019-04-13
Paris,Paris,France,par,2019-04-24
MCO,Monaco,Monaco,moc,2019-05-11
Berlin,Berlin,Germany,ber,2019-05-25
Bern,Bern,Switzerland,brn,2019-06-22
NYC,New York City,USA,nyc,2019-07-13
NYC,New York City,USA,nyc,2019-07-14
